sample_fp	plate	cycle	well	tile	channel
/mnt/data/uluru/input_sbs/plate_1/c1/A1_28_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	28	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_29_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	29	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_29_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	29	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_29_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	29	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_29_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	29	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_29_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	29	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_30_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	30	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_30_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	30	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_30_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	30	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_30_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	30	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_30_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	30	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_31_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	31	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_31_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	31	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_31_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	31	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_31_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	31	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_31_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	31	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_32_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	32	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_32_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	32	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_32_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	32	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_32_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	32	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_32_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	32	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_33_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	33	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_33_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	33	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_33_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	33	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_33_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	33	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_33_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	33	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_34_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	34	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_34_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	34	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_34_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	34	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_34_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	34	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_34_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	34	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_35_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	35	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_35_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	35	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_35_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	35	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_35_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	35	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_35_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	35	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_36_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	36	405_nm_Ex
